Number of Robots Processed,Elapsed Time (seconds)
50,4.639711618423462
100,9.071874380111694
150,13.49520230293274
200,17.935620546340942
250,22.48866868019104
300,26.996217966079712
350,31.530574560165405
400,36.357999086380005
450,41.199965715408325
500,45.96059989929199
550,50.32601714134216
600,54.50433826446533
650,58.66126108169556
700,62.843597173690796
750,67.04040312767029
800,71.20005488395691
850,75.38515043258667
900,79.58242344856262
950,83.76611423492432
1000,87.93495655059814
