Number of Robots Processed,Elapsed Time (seconds)
50,3.403587818145752
100,6.511548280715942
150,9.664977788925171
200,12.797145128250122
250,15.904614925384521
300,19.039236068725586
350,22.129156351089478
400,25.275019884109497
450,28.40928292274475
500,31.52305316925049
550,34.61992430686951
600,37.74282431602478
650,40.82915735244751
700,43.93745231628418
750,47.00958824157715
800,50.10525131225586
850,53.176358222961426
900,56.26087141036987
950,59.352293729782104
1000,62.55130958557129
