Number of Robots Processed,Elapsed Time (seconds)
50,5.25322413444519
100,10.216119527816772
150,15.177462577819824
200,20.14797878265381
250,25.211935997009277
300,30.31404757499695
350,35.330347299575806
400,40.29782676696777
450,45.237584590911865
500,50.20705962181091
550,55.23511576652527
600,60.239906787872314
650,65.30093932151794
700,70.3173177242279
750,75.36506009101868
800,80.36159944534302
850,85.33878469467163
900,90.36997151374817
950,95.3330659866333
1000,100.3245017528534
