Number of Robots Processed,Elapsed Time (seconds)
50,7.2038257122039795
100,14.131887912750244
150,21.065228939056396
200,28.0688738822937
250,35.13664412498474
300,42.23359131813049
350,49.30852484703064
400,56.42206311225891
450,63.5999219417572
500,70.80832886695862
550,77.97122120857239
600,85.16118216514587
650,92.30736517906189
700,99.53986263275146
750,106.73577499389648
800,113.93048310279846
850,121.04827189445496
900,128.17138171195984
950,135.3420763015747
1000,142.5109269618988
